structure,reg,exp,metric,estimate
otolith,max30,0.14,yield,0.456710546
otolith,max30,0.16,yield,0.472877661
otolith,max30,0.18,yield,0.48302318
otolith,max30,0.2,yield,0.488421561
otolith,max30,0.22,yield,0.490123997
otolith,max30,0.24,yield,0.488992456
otolith,max30,0.26,yield,0.485729186
otolith,max30,0.28,yield,0.480902199
otolith,max30,0.3,yield,0.474967223
otolith,max30,0.32,yield,0.468286524
otolith,max30,0.34,yield,0.461145007
otolith,max30,0.36,yield,0.453763909
otolith,max30,0.38,yield,0.44631242
artproc,min15,0.02,spr,0.782858088
artproc,min15,0.04,spr,0.615705933
artproc,min15,0.06,spr,0.486672754
artproc,min15,0.08,spr,0.3867339
artproc,min15,0.1,spr,0.309032517
artproc,min15,0.12,spr,0.24836005
artproc,min15,0.14,spr,0.200759373
artproc,min15,0.16,spr,0.163222343
artproc,min15,0.18,spr,0.133459797
artproc,min15,0.2,spr,0.109727012
artproc,min15,0.22,spr,0.090691476
artproc,min15,0.24,spr,0.075332862
artproc,min15,0.26,spr,0.062867461
artproc,min15,0.28,spr,0.052691126
artproc,min15,0.3,spr,0.04433622
artproc,min15,0.32,spr,0.037439126
artproc,min15,0.34,spr,0.031715717
artproc,min15,0.36,spr,0.026942811
artproc,min15,0.38,spr,0.022944137
artproc,min15,0.02,yield,0.418322879
artproc,min15,0.04,yield,0.676167261
artproc,min15,0.06,yield,0.826544911
artproc,min15,0.08,yield,0.905988924
artproc,min15,0.1,yield,0.939461221
artproc,min15,0.12,yield,0.943855728
artproc,min15,0.14,yield,0.930482747
artproc,min15,0.16,yield,0.90681887
artproc,min15,0.18,yield,0.877730846
artproc,min15,0.2,yield,0.846325228
artproc,min15,0.22,yield,0.814533658
artproc,min15,0.24,yield,0.783512749
artproc,min15,0.26,yield,0.753914938
artproc,min15,0.28,yield,0.726070212
artproc,min15,0.3,yield,0.70010682
artproc,min15,0.32,yield,0.676030519
artproc,min15,0.34,yield,0.653775946
artproc,min15,0.36,yield,0.633239389
artproc,min15,0.38,yield,0.614299305
artsurf,min15,0.02,spr,0.791338163
artsurf,min15,0.04,spr,0.629218314
artsurf,min15,0.06,spr,0.502935378
artsurf,min15,0.08,spr,0.404263336
artsurf,min15,0.1,spr,0.326886553
artsurf,min15,0.12,spr,0.265958773
artsurf,min15,0.14,spr,0.217761997
artsurf,min15,0.16,spr,0.179443288
artsurf,min15,0.18,spr,0.148812177
artsurf,min15,0.2,spr,0.124185055
artsurf,min15,0.22,spr,0.1042659
artsurf,min15,0.24,spr,0.088055023
artsurf,min15,0.26,spr,0.074779339
artsurf,min15,0.28,spr,0.06383918
artsurf,min15,0.3,spr,0.054767733
artsurf,min15,0.32,spr,0.047200141
artsurf,min15,0.34,spr,0.040849963
artsurf,min15,0.36,spr,0.035491228
artsurf,min15,0.38,spr,0.030944748
artsurf,min15,0.02,yield,0.337912094
artsurf,min15,0.04,yield,0.549228576
artsurf,min15,0.06,yield,0.674779652
artsurf,min15,0.08,yield,0.743052294
artsurf,min15,0.1,yield,0.7737496
artsurf,min15,0.12,yield,0.780368164
artsurf,min15,0.14,yield,0.772052241
artsurf,min15,0.16,yield,0.754918583
artsurf,min15,0.18,yield,0.732996331
artsurf,min15,0.2,yield,0.70888883
artsurf,min15,0.22,yield,0.684235959
artsurf,min15,0.24,yield,0.660034404
artsurf,min15,0.26,yield,0.63685752
artsurf,min15,0.28,yield,0.61500481
artsurf,min15,0.3,yield,0.59460246
artsurf,min15,0.32,yield,0.575670152
artsurf,min15,0.34,yield,0.558164865
artsurf,min15,0.36,yield,0.542009113
artsurf,min15,0.38,yield,0.527108807
basal,min15,0.02,spr,0.789544936
basal,min15,0.04,spr,0.626346342
basal,min15,0.06,spr,0.499460155
basal,min15,0.08,spr,0.400495896
basal,min15,0.1,spr,0.323025979
basal,min15,0.12,spr,0.262128862
basal,min15,0.14,spr,0.214036617
basal,min15,0.16,spr,0.175863733
basal,min15,0.18,spr,0.145398902
basal,min15,0.2,spr,0.120945514
basal,min15,0.22,spr,0.101199706
basal,min15,0.24,spr,0.085157282
basal,min15,0.26,spr,0.072042768
basal,min15,0.28,spr,0.061255411
basal,min15,0.3,spr,0.052328095
basal,min15,0.32,spr,0.044896109
basal,min15,0.34,spr,0.038673392
basal,min15,0.36,spr,0.033434461
basal,min15,0.38,spr,0.029000655
basal,min15,0.02,yield,0.356888373
basal,min15,0.04,yield,0.579308554
basal,min15,0.06,yield,0.710861777
basal,min15,0.08,yield,0.781887368
basal,min15,0.1,yield,0.8133142
basal,min15,0.12,yield,0.819440977
basal,min15,0.14,yield,0.809930201
basal,min15,0.16,yield,0.791228501
basal,min15,0.18,yield,0.767571168
basal,min15,0.2,yield,0.741687313
basal,min15,0.22,yield,0.715290987
basal,min15,0.24,yield,0.689420379
basal,min15,0.26,yield,0.664669984
basal,min15,0.28,yield,0.641348003
basal,min15,0.3,yield,0.619581909
basal,min15,0.32,yield,0.599388424
basal,min15,0.34,yield,0.580719269
basal,min15,0.36,yield,0.563490604
basal,min15,0.38,yield,0.547601591
otolith,min15,0.02,spr,0.792020985
otolith,min15,0.04,spr,0.63038365
otolith,min15,0.06,spr,0.504452137
otolith,min15,0.08,spr,0.406044052
otolith,min15,0.1,spr,0.328870777
otolith,min15,0.12,spr,0.268102544
otolith,min15,0.14,spr,0.220031362
otolith,min15,0.16,spr,0.181810452
otolith,min15,0.18,spr,0.151253307
otolith,min15,0.2,spr,0.126679104
otolith,min15,0.22,spr,0.10679402
otolith,min15,0.24,spr,0.090600291
otolith,min15,0.26,spr,0.077326649
otolith,min15,0.28,spr,0.066375183
otolith,min15,0.3,spr,0.057280793
otolith,min15,0.32,spr,0.04968027
otolith,min15,0.34,spr,0.04328874
otolith,min15,0.36,spr,0.037881686
otolith,min15,0.38,spr,0.033281255
otolith,min15,0.02,yield,0.268027092
otolith,min15,0.04,yield,0.43697985
otolith,min15,0.06,yield,0.538685117
otolith,min15,0.08,yield,0.595380594
otolith,min15,0.1,yield,0.622467734
otolith,min15,0.12,yield,0.630509561
otolith,min15,0.14,yield,0.626670989
otolith,min15,0.16,yield,0.615750038
otolith,min15,0.18,yield,0.60091082
otolith,min15,0.2,yield,0.584200543
otolith,min15,0.22,yield,0.56691123
otolith,min15,0.24,yield,0.549830612
otolith,min15,0.26,yield,0.533414527
otolith,min15,0.28,yield,0.517904191
otolith,min15,0.3,yield,0.503405087
otolith,min15,0.32,yield,0.489939367
otolith,min15,0.34,yield,0.477480164
otolith,min15,0.36,yield,0.465973681
otolith,min15,0.38,yield,0.455353104
