id,tl,structure,age,cmgroup
1228,NA,NA,NA,510
1229,NA,NA,NA,890
1230,NA,NA,NA,1170
1231,NA,NA,NA,240
1232,NA,NA,NA,540
1233,NA,NA,NA,220
1234,NA,NA,NA,240
1235,NA,NA,NA,250
1236,NA,NA,NA,520
1237,NA,NA,NA,190
1238,NA,NA,NA,180
1239,NA,NA,NA,170
1240,NA,NA,NA,160
1241,NA,NA,NA,230
1242,NA,NA,NA,250
1243,NA,NA,NA,590
1244,NA,NA,NA,220
1245,NA,NA,NA,180
1246,NA,NA,NA,200
1247,NA,NA,NA,220
1248,NA,NA,NA,230
1249,NA,NA,NA,280
1250,NA,NA,NA,460
1251,NA,NA,NA,200
1252,NA,NA,NA,310
1253,NA,NA,NA,170
1254,NA,NA,NA,180
1255,NA,NA,NA,210
1256,NA,NA,NA,250
1257,NA,NA,NA,270
1258,NA,NA,NA,280
1259,NA,NA,NA,450
1260,NA,NA,NA,480
1261,NA,NA,NA,520
1262,NA,NA,NA,560
1263,NA,NA,NA,570
1264,NA,NA,NA,600
1265,NA,NA,NA,740
1266,NA,NA,NA,950
1267,NA,NA,NA,180
1268,NA,NA,NA,150
1269,NA,NA,NA,220
1270,NA,NA,NA,910
1271,NA,NA,NA,280
1272,NA,NA,NA,510
1273,NA,NA,NA,530
1274,NA,NA,NA,560
1275,NA,NA,NA,1100
1276,NA,NA,NA,980
1277,NA,NA,NA,230
1278,NA,NA,NA,240
1279,NA,NA,NA,250
1280,NA,NA,NA,280
1281,NA,NA,NA,260
1282,NA,NA,NA,300
1283,NA,NA,NA,520
1284,NA,NA,NA,160
1285,NA,NA,NA,220
1286,NA,NA,NA,230
1287,NA,NA,NA,530
1288,NA,NA,NA,670
1289,NA,NA,NA,770
1290,NA,NA,NA,210
1291,NA,NA,NA,250
1292,NA,NA,NA,190
1293,NA,NA,NA,200
1294,NA,NA,NA,250
1295,NA,NA,NA,260
1296,NA,NA,NA,270
1297,NA,NA,NA,280
1298,NA,NA,NA,310
1299,NA,NA,NA,460
1300,NA,NA,NA,180
1301,NA,NA,NA,170
1302,NA,NA,NA,190
1303,NA,NA,NA,160
1304,NA,NA,NA,220
1305,NA,NA,NA,230
1306,NA,NA,NA,250
1307,NA,NA,NA,280
1308,NA,NA,NA,240
1309,NA,NA,NA,630
1310,NA,NA,NA,970
1311,NA,NA,NA,210
1312,NA,NA,NA,280
1313,NA,NA,NA,390
1314,NA,NA,NA,160
1315,NA,NA,NA,290
1316,NA,NA,NA,300
1317,NA,NA,NA,290
1318,NA,NA,NA,300
1319,NA,NA,NA,310
1320,NA,NA,NA,170
1321,NA,NA,NA,190
1322,NA,NA,NA,280
1323,NA,NA,NA,290
1324,NA,NA,NA,190
1325,NA,NA,NA,220
1326,NA,NA,NA,250
1327,NA,NA,NA,280
1328,NA,NA,NA,570
1329,NA,NA,NA,620
1330,NA,NA,NA,780
1331,NA,NA,NA,170
1332,NA,NA,NA,240
1333,NA,NA,NA,270
1334,NA,NA,NA,290
1335,NA,NA,NA,230
1336,NA,NA,NA,460
1337,NA,NA,NA,230
1338,NA,NA,NA,260
1339,NA,NA,NA,290
1340,NA,NA,NA,410
1341,NA,NA,NA,650
1342,NA,NA,NA,310
1343,NA,NA,NA,460
1344,NA,NA,NA,230
1345,NA,NA,NA,230
1346,NA,NA,NA,290
1347,NA,NA,NA,210
1348,NA,NA,NA,240
1349,NA,NA,NA,250
1350,NA,NA,NA,270
1351,NA,NA,NA,400
1352,NA,NA,NA,230
1353,NA,NA,NA,240
1354,NA,NA,NA,260
1355,NA,NA,NA,290
1356,NA,NA,NA,300
1357,NA,NA,NA,460
1358,NA,NA,NA,510
1359,NA,NA,NA,560
1360,NA,NA,NA,570
1361,NA,NA,NA,580
1362,NA,NA,NA,220
1363,NA,NA,NA,230
1364,NA,NA,NA,250
1365,NA,NA,NA,620
1366,NA,NA,NA,660
1367,NA,NA,NA,900
1368,NA,NA,NA,950
1369,NA,NA,NA,970
1370,NA,NA,NA,210
1371,NA,NA,NA,220
1372,NA,NA,NA,250
1373,NA,NA,NA,260
1374,NA,NA,NA,460
1375,NA,NA,NA,210
1376,NA,NA,NA,240
1377,NA,NA,NA,270
1378,NA,NA,NA,310
1379,NA,NA,NA,460
1380,NA,NA,NA,240
1381,NA,NA,NA,250
1382,NA,NA,NA,260
1383,NA,NA,NA,280
1384,NA,NA,NA,300
1385,NA,NA,NA,390
1386,NA,NA,NA,440
1387,NA,NA,NA,490
1388,NA,NA,NA,230
1389,NA,NA,NA,250
1390,NA,NA,NA,270
1391,NA,NA,NA,280
1392,NA,NA,NA,300
1393,NA,NA,NA,390
1394,NA,NA,NA,410
1395,NA,NA,NA,430
1396,NA,NA,NA,450
1397,NA,NA,NA,490
1398,NA,NA,NA,550
1399,NA,NA,NA,210
1400,NA,NA,NA,230
1401,NA,NA,NA,240
1402,NA,NA,NA,290
1403,NA,NA,NA,310
1404,NA,NA,NA,410
1405,NA,NA,NA,490
1406,NA,NA,NA,500
1407,NA,NA,NA,510
1408,NA,NA,NA,550
1409,NA,NA,NA,570
1410,NA,NA,NA,600
1411,NA,NA,NA,610
1412,NA,NA,NA,730
1413,NA,NA,NA,200
1414,NA,NA,NA,230
1415,NA,NA,NA,260
1416,NA,NA,NA,290
1417,NA,NA,NA,300
1418,NA,NA,NA,330
1419,NA,NA,NA,360
1420,NA,NA,NA,550
1421,NA,NA,NA,160
1422,NA,NA,NA,260
1423,NA,NA,NA,290
1424,NA,NA,NA,410
1425,NA,NA,NA,440
1426,NA,NA,NA,230
1427,NA,NA,NA,260
1428,NA,NA,NA,280
1429,NA,NA,NA,300
1430,NA,NA,NA,370
1431,NA,NA,NA,180
1432,NA,NA,NA,220
1433,NA,NA,NA,240
1434,NA,NA,NA,270
1435,NA,NA,NA,280
1436,NA,NA,NA,300
1437,NA,NA,NA,460
1438,NA,NA,NA,330
1439,NA,NA,NA,340
1440,NA,NA,NA,380
1441,NA,NA,NA,410
1442,NA,NA,NA,430
1443,NA,NA,NA,440
1444,NA,NA,NA,490
1445,NA,NA,NA,510
1446,NA,NA,NA,540
1447,NA,NA,NA,590
1448,NA,NA,NA,640
1449,NA,NA,NA,150
1450,NA,NA,NA,281
1451,NA,NA,NA,240
1452,NA,NA,NA,280
1453,NA,NA,NA,350
1454,NA,NA,NA,390
1455,NA,NA,NA,410
1456,NA,NA,NA,450
1457,NA,NA,NA,470
1458,NA,NA,NA,510
1459,NA,NA,NA,520
1460,NA,NA,NA,540
1461,NA,NA,NA,550
1462,NA,NA,NA,200
1463,NA,NA,NA,250
1464,NA,NA,NA,290
1465,NA,NA,NA,300
1466,NA,NA,NA,330
1467,NA,NA,NA,400
1468,NA,NA,NA,440
1469,NA,NA,NA,190
1470,NA,NA,NA,170
1471,NA,NA,NA,160
1472,NA,NA,NA,240
1473,NA,NA,NA,260
1474,NA,NA,NA,300
1475,NA,NA,NA,330
1476,NA,NA,NA,410
1477,NA,NA,NA,440
1478,NA,NA,NA,460
1479,NA,NA,NA,530
1480,NA,NA,NA,170
1481,NA,NA,NA,180
1482,NA,NA,NA,160
1483,NA,NA,NA,140
1484,NA,NA,NA,300
1485,NA,NA,NA,310
1486,NA,NA,NA,440
1487,NA,NA,NA,260
1488,NA,NA,NA,280
