id,tl,structure,age
61,672,basal,12
62,335,basal,3
63,380,basal,4
64,370,basal,3
65,322,basal,2
66,390,basal,4
67,296,basal,2
68,278,basal,2
69,259,basal,2
70,275,basal,2
71,245,basal,2
72,310,basal,3
73,240,basal,2
74,557,basal,9
75,240,basal,2
76,535,basal,10
77,521,basal,9
78,635,basal,12
79,540,basal,9
80,617,basal,12
81,602,basal,10
82,580,basal,9
83,565,basal,9
84,615,basal,10
85,600,basal,11
86,643,basal,11
87,267,basal,2
88,260,basal,2
89,565,basal,8
90,660,basal,10
91,462,basal,8
92,556,basal,5
93,560,basal,9
94,535,basal,10
95,836,basal,12
96,515,basal,8
97,610,basal,6
98,725,basal,11
99,681,basal,10
100,602,basal,10
101,590,basal,11
102,622,basal,10
103,751,basal,15
104,705,basal,9
105,790,basal,18
106,733,basal,11
107,765,basal,11
108,715,basal,11
109,1066,basal,15
110,938,basal,16
111,640,basal,
112,630,basal,11
113,630,basal,11
114,585,basal,10
115,695,basal,8
116,675,basal,13
117,642,basal,10
118,880,basal,13
119,900,basal,16
120,936,basal,12
121,964,basal,12
122,952,basal,11
123,940,basal,14
124,876,basal,15
125,876,basal,10
126,970,basal,14
1,550,otolith,9
2,485,otolith,8
3,525,otolith,10
4,413,otolith,4
5,560,otolith,9
6,468,otolith,8
7,521,otolith,8
8,450,otolith,6
9,465,otolith,9
10,545,otolith,10
11,290,otolith,3
12,594,otolith,7
13,402,otolith,3
14,472,otolith,9
15,471,otolith,8
16,277,otolith,3
17,535,otolith,7
18,651,otolith,14
19,540,otolith,10
20,606,otolith,13
21,579,otolith,12
22,391,otolith,4
23,482,otolith,7
24,450,otolith,7
25,420,otolith,4
26,592,otolith,10
27,657,otolith,14
28,265,otolith,2
29,554,otolith,8
30,781,otolith,15
31,540,otolith,7
32,392,otolith,2
33,340,otolith,4
34,496,otolith,8
35,530,otolith,14
36,417,otolith,3
37,375,otolith,4
38,295,otolith,3
39,529,otolith,8
40,340,otolith,4
41,445,otolith,8
42,375,otolith,4
43,482,otolith,7
44,476,otolith,
45,309,otolith,3
46,380,otolith,4
47,296,otolith,3
48,457,otolith,8
49,364,otolith,
50,412,otolith,4
51,354,otolith,3
52,309,otolith,3
53,327,otolith,3
54,345,otolith,4
55,327,otolith,4
56,271,otolith,2
57,755,otolith,
58,555,otolith,8
59,277,otolith,2
60,508,otolith,8
61,672,otolith,14
62,335,otolith,2
63,380,otolith,3
64,370,otolith,3
65,322,otolith,3
66,390,otolith,4
67,296,otolith,2
68,278,otolith,1
69,259,otolith,2
70,275,otolith,2
71,245,otolith,1
72,310,otolith,3
73,240,otolith,2
74,557,otolith,10
75,240,otolith,2
76,535,otolith,11
77,521,otolith,10
78,635,otolith,14
79,540,otolith,10
80,617,otolith,13
81,602,otolith,13
82,580,otolith,9
83,565,otolith,9
84,615,otolith,12
85,600,otolith,14
86,643,otolith,13
87,267,otolith,2
88,260,otolith,2
89,565,otolith,9
90,660,otolith,
91,462,otolith,7
92,556,otolith,7
93,560,otolith,13
94,535,otolith,11
95,836,otolith,14
96,515,otolith,7
97,610,otolith,14
98,725,otolith,14
99,681,otolith,10
100,602,otolith,14
101,590,otolith,10
102,622,otolith,14
103,751,otolith,18
104,705,otolith,
105,790,otolith,19
106,733,otolith,14
107,765,otolith,14
108,715,otolith,13
109,1066,otolith,19
110,938,otolith,19
111,640,otolith,14
112,630,otolith,13
113,630,otolith,
114,585,otolith,11
115,695,otolith,11
116,675,otolith,14
117,642,otolith,15
118,880,otolith,18
119,900,otolith,16
120,936,otolith,17
121,964,otolith,13
122,952,otolith,
123,940,otolith,17
124,876,otolith,18
125,876,otolith,13
126,970,otolith,18
